construct,cohort_a,cohort_b,tier_a,tier_b,items_a,items_b,instruments_a,instruments_b,shared_instruments,item_text_available_a,item_text_available_b,n_anchor_candidates,step3_verdict,why_not,fallback
anx_symptoms,lsac,abcd,1,1,633,10743,gad7; scas_cas8,cbcl; ksads,,633,10743,0,inference_harmonisation_only,no canonical instrument in common,harmonise the inference: replicate and meta-analyse standardised within-cohort estimates
anx_symptoms,lsac,tess,1,1,633,15,gad7; scas_cas8,papa_capa,,633,15,0,inference_harmonisation_only,no canonical instrument in common,harmonise the inference: replicate and meta-analyse standardised within-cohort estimates
anx_symptoms,abcd,tess,1,1,10743,15,cbcl; ksads,papa_capa,,10743,15,0,inference_harmonisation_only,no canonical instrument in common,harmonise the inference: replicate and meta-analyse standardised within-cohort estimates
internalising_broad,lsac,abcd,1,1,856,8489,k10; sdq; sdq_emotional,cbcl; ksads,,856,8489,0,inference_harmonisation_only,no canonical instrument in common,harmonise the inference: replicate and meta-analyse standardised within-cohort estimates
internalising_broad,lsac,tess,1,1,856,15,k10; sdq; sdq_emotional,papa_capa,,856,15,0,inference_harmonisation_only,no canonical instrument in common,harmonise the inference: replicate and meta-analyse standardised within-cohort estimates
internalising_broad,abcd,tess,1,1,8489,15,cbcl; ksads,papa_capa,,8489,15,0,inference_harmonisation_only,no canonical instrument in common,harmonise the inference: replicate and meta-analyse standardised within-cohort estimates
